areaCode,areaName,areaType,date,newCasesByPublishDateChangePercentage,newCasesBySpecimenDate,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2021-01-20,-0.6,1298,10.9
E12000001,North East,region,2021-01-19,3.0,1253,11.0
E12000001,North East,region,2021-01-18,2.7,1554,11.1
E12000001,North East,region,2021-01-17,-4.3,945,11.0
E12000001,North East,region,2021-01-16,-5.1,1010,11.0
E12000001,North East,region,2021-01-15,-11.7,1217,10.9
E12000001,North East,region,2021-01-14,-14.7,1224,10.9
E12000001,North East,region,2021-01-13,-20.0,1392,11.1
E12000001,North East,region,2021-01-12,-19.3,1426,11.0
E12000001,North East,region,2021-01-11,-14.9,1686,11.0
E12000001,North East,region,2021-01-10,5.5,1058,11.3
E12000001,North East,region,2021-01-09,19.9,1002,11.8
E12000001,North East,region,2021-01-08,40.9,1148,12.3
E12000001,North East,region,2021-01-07,46.2,1474,13.0
E12000001,North East,region,2021-01-06,63.7,1504,13.7
E12000001,North East,region,2021-01-05,89.6,1731,14.5
E12000001,North East,region,2021-01-04,83.8,2289,14.9
E12000001,North East,region,2021-01-03,51.7,1673,15.1
E12000001,North East,region,2021-01-02,37.1,1764,15.0
E12000001,North East,region,2021-01-01,28.5,949,15.0
E12000001,North East,region,2020-12-31,31.1,1562,14.8
E12000001,North East,region,2020-12-30,33.1,2277,14.5
E12000001,North East,region,2020-12-29,17.7,2433,13.6
E12000001,North East,region,2020-12-28,38.6,1434,11.9
E12000001,North East,region,2020-12-27,69.6,1284,10.0
E12000001,North East,region,2020-12-26,70.3,976,9.2
E12000001,North East,region,2020-12-25,54.1,313,8.5
E12000001,North East,region,2020-12-24,38.2,777,8.3
E12000001,North East,region,2020-12-23,20.3,1081,7.9
E12000001,North East,region,2020-12-22,20.2,1142,7.7
E12000001,North East,region,2020-12-21,3.8,1010,7.6
E12000001,North East,region,2020-12-20,-8.9,755,7.7
E12000001,North East,region,2020-12-19,-8.6,605,7.7
E12000001,North East,region,2020-12-18,1.2,783,7.7
E12000001,North East,region,2020-12-17,5.2,648,7.6
E12000001,North East,region,2020-12-16,13.8,820,7.8
E12000001,North East,region,2020-12-15,13.7,894,7.6
E12000001,North East,region,2020-12-14,6.1,905,7.3
E12000001,North East,region,2020-12-13,3.5,572,7.1
E12000001,North East,region,2020-12-12,1.4,508,7.1
E12000001,North East,region,2020-12-11,-6.5,648,7.0
E12000001,North East,region,2020-12-10,-8.5,646,6.9
E12000001,North East,region,2020-12-09,-16.1,638,6.9
E12000001,North East,region,2020-12-08,-22.7,721,6.9
E12000001,North East,region,2020-12-07,-17.5,757,6.7
E12000001,North East,region,2020-12-06,-19.5,510,6.6
E12000001,North East,region,2020-12-05,-22.0,417,6.5
E12000001,North East,region,2020-12-04,-23.9,558,6.7
E12000001,North East,region,2020-12-03,-29.7,591,6.9
E12000001,North East,region,2020-12-02,-30.1,642,7.1
E12000001,North East,region,2020-12-01,-32.6,649,7.4
E12000001,North East,region,2020-11-30,-38.6,768,7.5
E12000001,North East,region,2020-11-29,-51.6,455,7.7
E12000001,North East,region,2020-11-28,-52.2,494,7.8
E12000001,North East,region,2020-11-27,-51.3,643,8.0
E12000001,North East,region,2020-11-26,-48.0,705,8.4
E12000001,North East,region,2020-11-25,-48.2,806,8.8
E12000001,North East,region,2020-11-24,-43.5,851,9.4
E12000001,North East,region,2020-11-23,-38.6,973,9.9
E12000001,North East,region,2020-11-22,-4.5,626,10.3
E12000001,North East,region,2020-11-21,0.9,678,10.7
E12000001,North East,region,2020-11-20,7.6,944,11.2
E12000001,North East,region,2020-11-19,16.0,1021,11.7
E12000001,North East,region,2020-11-18,29.6,1336,12.1
E12000001,North East,region,2020-11-17,36.1,1468,12.7
E12000001,North East,region,2020-11-16,36.4,1570,13.0
E12000001,North East,region,2020-11-15,19.4,1053,13.3
E12000001,North East,region,2020-11-14,24.0,1051,13.4
E12000001,North East,region,2020-11-13,24.7,1519,13.7
E12000001,North East,region,2020-11-12,25.4,1534,13.8
E12000001,North East,region,2020-11-11,25.8,1857,13.9
E12000001,North East,region,2020-11-10,24.7,1774,13.7
E12000001,North East,region,2020-11-09,27.0,2057,13.4
E12000001,North East,region,2020-11-08,24.2,1292,13.1
E12000001,North East,region,2020-11-07,21.8,1343,12.9
E12000001,North East,region,2020-11-06,18.9,1461,12.6
E12000001,North East,region,2020-11-05,10.4,1482,12.7
E12000001,North East,region,2020-11-04,1.4,1414,12.7
E12000001,North East,region,2020-11-03,-11.3,1517,12.7
E12000001,North East,region,2020-11-02,-15.5,1672,12.4
E12000001,North East,region,2020-11-01,-13.8,994,12.0
E12000001,North East,region,2020-10-31,-10.2,883,11.8
E12000001,North East,region,2020-10-30,-9.8,1206,11.8
E12000001,North East,region,2020-10-29,-6.0,1121,11.6
E12000001,North East,region,2020-10-28,-2.2,1166,11.6
E12000001,North East,region,2020-10-27,17.9,1173,11.8
E12000001,North East,region,2020-10-26,28.2,1318,11.8
E12000001,North East,region,2020-10-25,17.3,848,11.8
E12000001,North East,region,2020-10-24,5.1,861,11.8
E12000001,North East,region,2020-10-23,3.8,1039,11.8
E12000001,North East,region,2020-10-22,3.8,1226,11.8
E12000001,North East,region,2020-10-21,3.8,1507,11.7
E12000001,North East,region,2020-10-20,-2.5,1434,11.5
E12000001,North East,region,2020-10-19,-9.7,1409,11.3
E12000001,North East,region,2020-10-18,-3.7,824,11.1
E12000001,North East,region,2020-10-17,-16.2,805,11.1
E12000001,North East,region,2020-10-16,-13.4,1079,11.1
E12000001,North East,region,2020-10-15,-7.8,1168,11.2
E12000001,North East,region,2020-10-14,2.3,1386,11.4
E12000001,North East,region,2020-10-13,6.5,1291,11.4
E12000001,North East,region,2020-10-12,16.8,1385,11.3
E12000001,North East,region,2020-10-11,32.6,932,11.1
E12000001,North East,region,2020-10-10,151.2,843,11.2
E12000001,North East,region,2020-10-09,172.3,1176,11.4
E12000001,North East,region,2020-10-08,141.8,1375,11.5
E12000001,North East,region,2020-10-07,107.0,1471,11.4
E12000001,North East,region,2020-10-06,90.8,1443,11.0
E12000001,North East,region,2020-10-05,89.1,1370,10.6
E12000001,North East,region,2020-10-04,59.9,1196,10.0
E12000001,North East,region,2020-10-03,4.0,1160,9.5
E12000001,North East,region,2020-10-02,-2.4,1218,9.1
E12000001,North East,region,2020-10-01,9.6,1181,8.6
E12000001,North East,region,2020-09-30,24.5,963,8.3
E12000001,North East,region,2020-09-29,45.9,1044,7.8
E12000001,North East,region,2020-09-28,57.8,969,7.3
E12000001,North East,region,2020-09-27,90.4,659,6.7
E12000001,North East,region,2020-09-26,111.2,777,6.5
E12000001,North East,region,2020-09-25,120.5,606,6.0
E12000001,North East,region,2020-09-24,121.0,719,5.8
E12000001,North East,region,2020-09-23,112.3,640,5.4
E12000001,North East,region,2020-09-22,93.2,548,5.0
E12000001,North East,region,2020-09-21,80.7,610,4.6
E12000001,North East,region,2020-09-20,43.7,589,4.2
E12000001,North East,region,2020-09-19,23.9,434,3.6
E12000001,North East,region,2020-09-18,23.7,463,3.3
E12000001,North East,region,2020-09-17,24.6,370,2.9
E12000001,North East,region,2020-09-16,34.2,329,2.7
E12000001,North East,region,2020-09-15,45.0,263,2.5
E12000001,North East,region,2020-09-14,37.8,196,2.3
E12000001,North East,region,2020-09-13,65.2,141,2.3
E12000001,North East,region,2020-09-12,104.8,155,2.3
E12000001,North East,region,2020-09-11,119.7,199,2.4
E12000001,North East,region,2020-09-10,130.4,235,2.4
E12000001,North East,region,2020-09-09,113.0,234,2.4
E12000001,North East,region,2020-09-08,108.7,223,2.3
E12000001,North East,region,2020-09-07,143.2,203,2.2
E12000001,North East,region,2020-09-06,156.9,170,2.3
E12000001,North East,region,2020-09-05,165.0,233,2.2
E12000001,North East,region,2020-09-04,111.6,175,1.9
E12000001,North East,region,2020-09-03,91.4,204,1.7
E12000001,North East,region,2020-09-02,102.5,127,1.5
E12000001,North East,region,2020-09-01,103.7,117,1.5
E12000001,North East,region,2020-08-31,68.2,91,1.3
E12000001,North East,region,2020-08-30,63.3,61,1.1
E12000001,North East,region,2020-08-29,24.2,78,1.1
E12000001,North East,region,2020-08-28,32.1,67,0.9
E12000001,North East,region,2020-08-27,8.5,66,0.9
E12000001,North East,region,2020-08-26,12.4,68,0.8
E12000001,North East,region,2020-08-25,2.8,49,0.8
E12000001,North East,region,2020-08-24,5.2,39,0.8
E12000001,North East,region,2020-08-23,-3.9,23,0.7
E12000001,North East,region,2020-08-22,13.1,33,0.7
E12000001,North East,region,2020-08-21,28.2,42,0.7
E12000001,North East,region,2020-08-20,112.9,43,0.6
E12000001,North East,region,2020-08-19,61.9,46,0.7
E12000001,North East,region,2020-08-18,56.6,36,0.6
E12000001,North East,region,2020-08-17,69.6,32,0.7
E12000001,North East,region,2020-08-16,59.4,11,0.7
E12000001,North East,region,2020-08-15,48.8,18,0.7
E12000001,North East,region,2020-08-14,39.3,31,0.7
E12000001,North East,region,2020-08-13,8.4,53,0.7
E12000001,North East,region,2020-08-12,39.6,39,0.7
E12000001,North East,region,2020-08-11,56.3,45,0.7
E12000001,North East,region,2020-08-10,42.0,21,0.6
E12000001,North East,region,2020-08-09,62.0,15,0.6
E12000001,North East,region,2020-08-08,75.7,12,0.6
E12000001,North East,region,2020-08-07,72.1,15,0.6
E12000001,North East,region,2020-08-06,84.5,24,0.5
E12000001,North East,region,2020-08-05,41.2,30,0.5
E12000001,North East,region,2020-08-04,31.8,20,0.5
E12000001,North East,region,2020-08-03,51.7,19,0.5
E12000001,North East,region,2020-08-02,29.5,16,0.5
E12000001,North East,region,2020-08-01,-10.3,9,0.4
E12000001,North East,region,2020-07-31,-17.1,12,0.4
E12000001,North East,region,2020-07-30,-27.5,15,0.4
E12000001,North East,region,2020-07-29,-9.3,21,0.4
E12000001,North East,region,2020-07-28,-5.7,5,0.4
E12000001,North East,region,2020-07-27,-18.3,9,0.5
E12000001,North East,region,2020-07-26,-15.3,6,0.5
E12000001,North East,region,2020-07-25,16.4,5,0.5
E12000001,North East,region,2020-07-24,17.1,6,0.5
E12000001,North East,region,2020-07-23,8.1,8,0.5
E12000001,North East,region,2020-07-22,4.2,16,0.5
E12000001,North East,region,2020-07-21,-2.8,14,0.5
E12000001,North East,region,2020-07-20,0.0,11,0.5
E12000001,North East,region,2020-07-19,-5.3,7,0.5
E12000001,North East,region,2020-07-18,-1.5,4,0.5
E12000001,North East,region,2020-07-17,16.7,10,0.5
E12000001,North East,region,2020-07-16,42.3,15,0.5
E12000001,North East,region,2020-07-15,26.3,16,0.5
E12000001,North East,region,2020-07-14,-98.4,12,0.4
E12000001,North East,region,2020-07-13,-98.4,9,0.5
E12000001,North East,region,2020-07-12,-98.3,3,0.5
E12000001,North East,region,2020-07-11,-98.5,7,0.5
E12000001,North East,region,2020-07-10,-98.7,10,0.5
E12000001,North East,region,2020-07-09,-98.8,18,0.5
E12000001,North East,region,2020-07-08,-98.7,12,0.5
E12000001,North East,region,2020-07-07,18804.2,12,0.5
E12000001,North East,region,2020-07-06,16103.6,11,0.5
E12000001,North East,region,2020-07-05,13612.1,4,0.5
E12000001,North East,region,2020-07-04,11487.2,9,0.6
E12000001,North East,region,2020-07-03,9106.1,8,0.6
E12000001,North East,region,2020-07-02,9721.7,9,0.6
E12000001,North East,region,2020-07-01,8248.1,7,0.7
E12000001,North East,region,2020-06-30,-64.7,11,0.7
E12000001,North East,region,2020-06-29,-64.1,10,0.8
E12000001,North East,region,2020-06-28,-56.6,9,1.0
E12000001,North East,region,2020-06-27,-49.4,14,1.0
E12000001,North East,region,2020-06-26,-32.9,8,1.1
E12000001,North East,region,2020-06-25,-43.2,12,1.1
E12000001,North East,region,2020-06-24,-33.3,11,1.1
E12000001,North East,region,2020-06-23,-11.7,26,1.2
E12000001,North East,region,2020-06-22,-14.3,24,1.2
E12000001,North East,region,2020-06-21,-14.6,4,1.2
